,date,actions
0,2021-04-06,[0]
1,2021-04-07,[85]
2,2021-04-08,[-49]
3,2021-04-09,[-26]
4,2021-04-12,[100]
5,2021-04-13,[56]
6,2021-04-14,[-2]
7,2021-04-15,[93]
8,2021-04-16,[46]
9,2021-04-19,[100]
10,2021-04-20,[-100]
11,2021-04-21,[22]
12,2021-04-22,[30]
13,2021-04-23,[100]
14,2021-04-26,[58]
15,2021-04-27,[100]
16,2021-04-28,[44]
17,2021-04-29,[-100]
18,2021-04-30,[51]
19,2021-05-03,[5]
20,2021-05-04,[11]
21,2021-05-05,[57]
22,2021-05-06,[38]
23,2021-05-07,[100]
24,2021-05-10,[-100]
25,2021-05-11,[100]
26,2021-05-12,[57]
27,2021-05-13,[95]
28,2021-05-14,[100]
29,2021-05-17,[-100]
30,2021-05-18,[-11]
31,2021-05-19,[-59]
32,2021-05-20,[100]
33,2021-05-21,[-100]
34,2021-05-24,[61]
35,2021-05-25,[82]
36,2021-05-26,[2]
37,2021-05-27,[27]
38,2021-05-28,[-25]
39,2021-06-01,[-31]
40,2021-06-02,[56]
41,2021-06-03,[100]
42,2021-06-04,[-100]
43,2021-06-07,[100]
44,2021-06-08,[-100]
45,2021-06-09,[100]
46,2021-06-10,[100]
47,2021-06-11,[-91]
48,2021-06-14,[-91]
49,2021-06-15,[-63]
50,2021-06-16,[93]
51,2021-06-17,[-55]
52,2021-06-18,[65]
53,2021-06-21,[31]
54,2021-06-22,[-100]
55,2021-06-23,[-91]
56,2021-06-24,[-100]
57,2021-06-25,[27]
58,2021-06-28,[-100]
59,2021-06-29,[-78]
60,2021-06-30,[45]
61,2021-07-01,[-100]
